,Makespan,Mean Flow Time,Mean Weighted Tardiness,Max Weighted Tardiness,No. Tardy Jobs P1,No. Tardy Jobs P2,No. Tardy Jobs P3,Mean WIP
0,4101.746911906167,342.6784371884355,771.4583992968342,5240.482057560432,0.9627894132915051,0.9641999288196961,0.6424703278374723,189.14964219444505
1,6623.9949119061675,452.4361164384356,375.3944822402378,3174.220542852863,0.9732358460947025,6.863656146706973e-05,0.0,291.36656819861423
2,5057.399411906167,306.7724254384351,329.7794772309312,1833.8996299264506,0.9194207524179909,0.8677596691961227,0.5471350635732614,186.7800833517797
3,4691.850911906167,326.88850368843543,249.56396136041664,1139.3199528171403,0.988797781971675,0.0,0.0,185.030530363732
4,4695.702411906172,333.2659966884353,255.96703251704596,1163.7486173927455,0.9933468466679115,0.0,0.0,188.37560413722818
5,5902.289911906168,377.57705418843494,277.6296991754241,2448.707881751672,0.9909099238779581,0.8561729656806637,0.026439689707636632,240.3030842147938
6,4421.141411906169,329.6215161884354,326.34016018466514,893.918825106907,0.9814916243739121,0.965259374588419,0.6152483382254544,188.451408880665
7,12139.421411906147,814.2361519384336,719.9429386497009,8711.762113105773,0.6564784865814114,0.1299390409483597,0.0,424.05322379713397
8,4100.962411906166,341.3568279384353,765.4848568838975,5179.438721121689,0.9643972442702726,0.9642671408522159,0.6412847891062191,188.47134291046305
9,6648.312911906169,453.7677394384356,376.7419837347108,3216.2490733926634,0.9767868695980026,9.522423648288134e-05,0.0,292.87079440133584
10,5054.467911906166,303.6566174384352,325.60880922195685,1834.0426753409004,0.9228259926312884,0.868951871975585,0.5450910315184598,185.73875818963276
11,4700.392911906167,327.6721229384354,250.4342142574959,1146.392954855992,0.9872702854348363,0.0,0.0,185.72408944766335
12,4700.48041190617,334.00749943843533,256.8164664936204,1169.7623171878936,0.9933624032254685,0.0,0.0,188.73636699077989
13,6019.293411906169,379.1952356884351,279.2179556533316,2545.115116620709,0.9915292834818635,0.8577997676679905,0.02498665328561281,244.75437935873205
14,4415.497911906168,329.3686384384353,326.3767685650197,891.7336701510857,0.9802355949063223,0.9646528814931294,0.6167276962923294,188.1490153761878
15,13814.488411906152,867.819644188434,773.1216851011428,10367.340558398559,0.6627004499551502,0.1268849886773852,0.0,476.21165734756903
16,4096.090411906165,344.9297246884354,779.2471166505005,5126.679815857617,0.9662587347715476,0.9667067492014576,0.6434673126146865,189.93299294737935
17,6653.582911906171,444.97765268843534,367.60401202211114,3191.610877224334,0.9741619828999325,0.00013080928262013637,0.0,289.5400952061339
18,4996.852411906166,305.41492793843526,328.87380137760965,1803.4189308515624,0.9166861645973674,0.8651185963600483,0.5462752650417597,184.81764925671806
19,4669.120911906166,325.6214389384352,247.98023281083044,1116.863113220393,0.9877766409726615,3.231017770597738e-05,0.0,184.18217755747378
20,4685.39591190617,331.30155993843533,253.74016320391522,1152.437665265231,0.9919240319074332,0.0,0.0,187.28942168955527
21,5944.418411906167,370.2164934384349,270.2238269231153,2493.592342805696,0.9914092391356302,0.8633288119169561,0.02403251572209557,237.79352115353103
22,4418.033911906169,328.62583968843546,324.68296216707813,884.5508661731919,0.9804290246418078,0.9644742211248252,0.616148431559911,187.8651101241532
23,11790.678911906174,778.4925109384337,683.7220150911535,8382.044035652028,0.6758470456585346,0.12940194452687126,3.527336860670194e-05,413.4960113542295
24,4095.5329119061657,344.3738859384355,775.7104329903918,5115.095488590427,0.9664541244419068,0.9660596010421014,0.6428464344263307,189.62353630005455
25,6604.270411906169,445.41595143843546,368.05004219508925,3176.4975822436168,0.9756779810647275,3.552397868561279e-05,0.0,288.4017711951173
26,5006.113411906168,304.74480993843525,326.7176076783825,1794.123173525682,0.9187740304995056,0.865365361792758,0.5444976042470581,185.07716568344958
27,4672.255911906168,325.5904451884353,248.03786147088468,1124.3226598973908,0.9868998647244274,0.0,0.0,184.2016565385045
28,4687.554411906167,332.7539699384354,255.2562501563463,1151.6498712179018,0.9930814371713059,0.0,0.0,187.95739633968068
29,5895.29091190617,371.5059854384351,271.60527683093363,2431.889926375091,0.9906086349798447,0.8647545176813654,0.025347286167005392,237.28421733720535
30,4409.779411906169,327.88522243843545,323.8499211383217,882.5840117247056,0.9803521111334242,0.9638734402692887,0.6145363128134091,187.3820394528418
31,12060.430911906162,815.2424451884336,720.579918680022,8649.718652689036,0.6699866295613738,0.1278116193844682,0.0001347061465244241,424.7168023740708
