Workcenter,Machine_Number,Bid,Job_Name,Time,PT,PS,RDue,RP,CR,Pool,Setup,
3,1,-1.392815206,job5004,423.6,0.027059348,-0.479022633,-0.413860013,1.699860465,1.171420018,-0.359172054,-3.039100336,5
1,0,-3.317594632,job5121,423.7,-1.902016169,-0.176535185,3.053367533,-1.575473439,-2.467125009,-0.249812363,0,1.999999999
1,1,-6.249895691,job5121,423.7,-0.76592567,-0.13810368,0.301552649,-0.813272046,1.705042754,-0.333209948,-6.205979749,4
1,0,-5.96317412,job5131,424.5,-2.717165956,-0.176535185,3.100296165,-1.700511013,-2.466933491,-0.249812363,-1.752512275,1.999999999
1,1,-6.722688002,job5131,424.5,-1.094179529,-0.13810368,0.304994444,-0.877817447,1.704910395,-0.416512435,-6.205979749,5
2,0,7.320714241,job5092,424.6,0.408375066,1.043123631,6.096677771,-0.653532598,0.654397092,-0.228326721,0,4
2,0,4.309227581,job5052,424.6,0.136125022,1.043123631,6.236661789,-0.770234848,0.653772867,-0.228326721,-2.761894158,4
2,1,9.698338928,job5092,424.6,2.649868536,0.05469096,3.521373815,1.325785204,2.722244537,-0.575624124,0,6
2,1,3.766420258,job5052,424.6,0.883289512,0.05469096,3.603400211,1.562532561,2.719647807,-0.575624124,-4.481516671,6
2,0,4.309112956,job5052,424.7,0.136125022,1.043123631,6.236661789,-0.770234848,0.653658241,-0.228326721,-2.761894158,4
2,1,3.635595297,job5052,424.7,0.883289512,0.05469096,3.568989438,1.562532561,2.719170973,-0.671561478,-4.481516671,7
4,0,2.568059772,job5063,425.1,-0.875018173,0.422437079,-0.408646361,2.196630394,0.355893311,-0.078771178,0.9555347,1
4,1,-1.746596353,job5063,425.1,0.363772885,0.700011893,1.97957421,0.688762765,-1.852431199,-0.32812152,-3.298165386,5
2,0,4.532038453,job5102,425.2,0.408375066,1.043123631,6.243657383,-0.770234848,0.654419781,-0.285408402,-2.761894158,5
2,1,9.899300152,job5102,425.2,2.649868536,0.05469096,3.58143065,1.562532561,2.722338921,-0.671561478,0,7
4,0,2.501891032,job5013,425.2,-0.875018173,0.422437079,-0.392022897,2.196630394,0.351872284,-0.157542355,0.9555347,2
4,1,-1.803090541,job5013,425.2,0.363772885,0.700011893,1.902150503,0.688762765,-1.83150168,-0.32812152,-3.298165386,5
1,0,-7.125455233,job5141,425.3,-3.804032339,-0.176535185,3.200266929,-2.000601192,-2.467134988,-0.124906181,-1.752512275,1
1,1,-7.219185571,job5141,425.3,-1.531851341,-0.13810368,0.317635905,-1.032726408,1.705049651,-0.333209948,-6.205979749,4
4,0,1.906096831,job5033,425.5,-1.31252726,0.422437079,-0.416280672,3.095251919,0.353529298,-0.236313533,0,3
4,1,-1.215498772,job5033,425.5,0.545659328,0.700011893,2.034714033,0.970529351,-1.840126469,-0.32812152,-3.298165386,5
2,0,4.353838469,job5072,425.6,0.272250044,1.043123631,6.053011144,-0.676873048,0.652547578,-0.228326721,-2.761894158,4
2,1,4.095246803,job5072,425.6,1.766579024,0.05469096,3.435306953,1.373134675,2.714550693,-0.767498832,-4.481516671,8
